:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1"}, "n1" #{"n0"}, "n0" #{"n2"}}]
1	:ok	:generate	"6149083c-e1b2-40bb-b013-30768b8f153c"
2	:ok	:generate	"ee05a267-faa6-40af-bbd6-b6af05b4993c"
0	:ok	:generate	"a11239c7-56eb-46e5-978e-495be2732a7d"
0	:invoke	:generate	nil
0	:ok	:generate	"f294c2b5-b5ca-4bf7-8f1b-c66ac54d8352"
1	:invoke	:generate	nil
1	:ok	:generate	"4eabb6f6-6cf2-4aea-8194-1bfb81a7058a"
2	:invoke	:generate	nil
2	:ok	:generate	"33447043-9fc2-48a3-96ba-cfa6776b018b"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"5f9bb172-c7aa-4d98-8383-3a3ca1458188"
2	:invoke	:generate	nil
1	:ok	:generate	"738c5917-eb6d-4c5c-a453-26983afe0134"
0	:invoke	:generate	nil
2	:ok	:generate	"abc40ac5-e075-4873-953b-f9fb0f6f68f9"
0	:ok	:generate	"04d9018e-5a26-42d9-bc3a-75dfe9e9c50c"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"00c8162f-6bd0-4de3-81ce-b0c73e88c911"
2	:invoke	:generate	nil
1	:ok	:generate	"98f7c1b1-ee93-4468-a59d-e5d944f7b04a"
0	:invoke	:generate	nil
2	:ok	:generate	"522338c6-c1ee-427e-af03-e930643a9ebc"
0	:ok	:generate	"599bcb3f-7fdd-478a-af0b-1d55d8c783d9"
0	:invoke	:generate	nil
0	:ok	:generate	"11475dd3-65dd-4495-84e1-822d790af03e"
0	:invoke	:generate	nil
0	:ok	:generate	"d35ae586-5886-43cc-acfc-340c46d239b5"
1	:invoke	:generate	nil
1	:ok	:generate	"dab25955-8984-4373-babf-e7c86ae9456a"
2	:invoke	:generate	nil
2	:ok	:generate	"c0e5be25-3950-4425-a9e3-3eea9adc03c1"
0	:invoke	:generate	nil
0	:ok	:generate	"52bbaf3f-7b4d-4454-8dc1-de5d9fd643ef"
0	:invoke	:generate	nil
0	:ok	:generate	"07207632-90c0-4f27-98ca-a0db31dd5bc8"
1	:invoke	:generate	nil
1	:ok	:generate	"81d6324f-d1fb-423f-a34e-329e2564be57"
2	:invoke	:generate	nil
2	:ok	:generate	"50ba61e5-b5f1-4f38-82b4-5ceded710cdf"
0	:invoke	:generate	nil
0	:ok	:generate	"e4cf206f-1e96-4030-924e-bc029710be5b"
0	:invoke	:generate	nil
0	:ok	:generate	"273f3ee5-6e9c-4902-804e-816d78cf683d"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"74781a73-7c0b-41af-902f-a9c3962331af"
2	:ok	:generate	"988dc8cc-7423-4695-81f9-e624ce133d63"
0	:invoke	:generate	nil
0	:ok	:generate	"4c1a9f24-5892-48dd-9864-9943ba4f4ca9"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1cfabdd8-a510-4b90-9e08-834099b577a6"
2	:invoke	:generate	nil
1	:ok	:generate	"978e4e98-cd47-479a-b690-1ce244576d65"
2	:ok	:generate	"6f60d243-07e8-4c15-a48e-ada96f8aaf21"
0	:invoke	:generate	nil
0	:ok	:generate	"c627c195-3d08-428d-b1c3-74a1b56d82e5"
0	:invoke	:generate	nil
0	:ok	:generate	"cc91b38f-2246-4750-8084-5b5e97fa03a5"
1	:invoke	:generate	nil
1	:ok	:generate	"7e0fa3d7-e839-4af9-a07f-dc505e7b29b4"
2	:invoke	:generate	nil
2	:ok	:generate	"d2a2b766-d9c2-4b6d-ae2b-7c489b32667b"
0	:invoke	:generate	nil
0	:ok	:generate	"6ac1023b-b80b-4803-b823-5f4bd547fa39"
0	:invoke	:generate	nil
0	:ok	:generate	"4424601e-6863-49b7-be81-51810b172c74"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"64386bf9-8f72-4da7-916d-dab80cb92d97"
0	:invoke	:generate	nil
2	:ok	:generate	"6dd2eb08-fa12-46c9-b4a6-7e51eb0b280d"
0	:ok	:generate	"bac665a1-7dc4-42ec-925b-f2f33035c0fb"
0	:invoke	:generate	nil
0	:ok	:generate	"b14e7515-c84b-4ffa-9864-330ccf425d62"
1	:invoke	:generate	nil
1	:ok	:generate	"665106ba-578a-4d9d-bf50-edeee4c94675"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"69875328-6849-47fa-abaa-0657b36553d3"
0	:ok	:generate	"a8c59087-5637-49cb-860d-5917a66bb01a"
0	:invoke	:generate	nil
0	:ok	:generate	"21359f75-a024-4014-b911-2d0a7e0aece0"
1	:invoke	:generate	nil
1	:ok	:generate	"68b746c5-f6ee-4317-9706-71855cc727b0"
2	:invoke	:generate	nil
2	:ok	:generate	"53981ff2-7dab-4c92-8552-c2f10c81eb3b"
0	:invoke	:generate	nil
0	:ok	:generate	"28fe05ad-a0d2-4f09-b141-109a9b9abe44"
0	:invoke	:generate	nil
0	:ok	:generate	"6cbc2d04-3d90-43df-99c2-088534a314f2"
1	:invoke	:generate	nil
1	:ok	:generate	"e590e014-ff59-446a-b7fa-c499121d2c15"
2	:invoke	:generate	nil
2	:ok	:generate	"9c645e6c-a40f-4b8b-921b-1557a0a1f488"
0	:invoke	:generate	nil
0	:ok	:generate	"29ad08c9-3ed0-457a-bab9-ebc04586735a"
0	:invoke	:generate	nil
0	:ok	:generate	"8d89c104-0143-4ef6-88c0-47bb39140524"
1	:invoke	:generate	nil
1	:ok	:generate	"95ce1f65-553d-47b1-90aa-c0f1e704bb3c"
2	:invoke	:generate	nil
2	:ok	:generate	"b48a3ed6-ceb7-45e8-a1b4-c94ebbcf5376"
0	:invoke	:generate	nil
